Ref-No.	Citation
657	Wang, H., M. J. Moore, P. S. Soltis, C. D. Bell, S. F. Brockington, R. Alexandre, C. C. Davis, M. Latvis, S. R. Manchester, D. E. Soltis (2009). Rosid radiation and the rapid rise of angiosperm-dominated forests. Proceedings of the National Academy of Sciences 106(10): 3853-3858.
658	Wang, W., Z.-D. Chen, Y. Liu, R.-Q. Li, J.-H. Li (2007). Phylogenetic and biogeographic diversification of Berberidaceae in the Northern Hemisphere. Systematic Botany 32(4): 731-742.
659	Wang, W., A. M. Lu, Y. Ren, M. E. Endress, Z. D. Chen (2009). Phylogeny and classification of Ranunculales: Evidence from four molecular loci and morphological data. Perspectives in Plant Ecology Evolution and Systematics 11(2): 81-110.
660	Wang, X. Q., D. C. Tank, T. Sang (2000). Phylogeny and divergence times in Pinaceae: Evidence from three genomes. Molecular Biology and Evolution 17: 773-781.
661	Wang, X. R., Y. Tsumura, H. Yoshimaru, K. Nagasaka, A. E. Szmidt (1999). Phylogenetic relationships of Eurasian pines (Pinus, Pinaceae) based on chloroplast rbcL, matK, RPL20-RPS18 spacer, and trnV intron sequences. American Journal of Botany 86: 1742-1753.
662	Wang, Y.-J., J.-Q. Liu, G. Miehe (2007). Phylogenetic origins of the Himalayan endemic Dolomiaea, Diplazoptilon and Xanthopappus (Asteraceae: Cardueae) based on three DNA regions. Annals of Botany 99(2): 311-322.
663	Wang, Y., Y. F. Liu, S. B. Liu, H. W. Huang (2009). Molecular phylogeny of Myricaria (Tamaricaceae): implications for taxonomy and conservation in China. Botanical Studies 50(3): 343-352.
664	Wang, Y. J., X. J. Li, G. Hao, J. Q. Liu (2004). Molecular phylogeny and biogeography of Androsace (Primulaceae) and the convergent evolution of cushion morphology. Acta Phytotaxonomica Sinica 42(6): 481-499.
665	Ward, J., R. J. Bayer, R. Smissen, M. Galbany-Casals, M. Unwin (2009). Gnaphalieae. Systematics, Evolution and Biogeography of Compositae. V. A. Funk, A. Susanna, T. F. Stuessy and R. J. Bayer. Vienna, Austria, IAPT: 539-588.
666	Warwick, S., K. Mummenhoff, C. Sauder, M. Koch, I. Al-Shehbaz (2010). Closing the gaps: phylogenetic relationships in the Brassicaceae based on DNA sequence data of nuclear ribosomal ITS region. Plant Systematics and Evolution 285(3): 209-232.
667	Warwick, S. I., I. A. Al-Shehbaz, R. A. Price, C. Sauder (2002). Phylogeny of Sisymbrium (Brassicaceae) based on ITS sequences of nuclear ribosomal DNA. Canadian Journal of Botany-Revue Canadienne de Botanique 80(9): 1002-1017.
668	Warwick, S. I. and L. D. Black (1997). Phylogenetic implications of chloroplast DNA restriction site variation in subtribes Raphaninae and Cakilinae (Brassicaceae, tribe Brassiceae). Canadian Journal of Botany 75: 960-973.
669	Warwick, S. I. and C. A. Sauder (2005). Phylogeny of tribe Brassiceae (Brassicaceae) based on chloroplast restriction site polymorphisms and nuclear ribosomal internal transcribed spacer and chloroplast trnL intron sequences. Canadian Journal of Botany-Revue Canadienne de Botanique 83(5): 467-483.
670	Warwick, S. I., C. A. Sauder, I. A. Al-Shehbaz (2008). Phylogenetic relationships in the tribe Alysseae (Brassicaceae) based on nuclear ribosomal ITS DNA sequences. Botany-Botanique 86(4): 315-336.
671	Waterway, M. J., T. Hoshino, T. Masaki (2009). Phylogeny, species richness, and ecological specialization in Cyperaceae tribe Cariceae. Botanical Review 75(1): 138-159.
672	Waterway, M. J. and J. R. Starr (2007). Phylogenetic relationships in tribe Cariceae (Cyperaceae) based on nested analyses of four molecular data sets. Aliso 23: 165-192.
673	Watson, L. E., P. L. Bates, T. M. Evans, M. M. Unwin, J. R. Estes (2002). Molecular phylogeny of Subtribe Artemisiinae (Asteraceae), including Artemisia and its allied and segregate genera. BMC Evolutionary Biology 2: 17.
674	Weese, T. L. and L. Bohs (2007). A three-gene phylogeny of the genus Solanum (Solanaceae). Systematic Botany 32(2): 445-463.
675	Wei, X. X. and X. Q. Wang (2003). Phylogenetic split of Larix: evidence from paternally inherited cpDNA trnT- trnF region. Plant Systematics and Evolution 239(1): 67-77.
676	Weigend, M., M. Gottschling, F. Selvi, H. H. Hilger (2009). Marbleseeds are gromwells - Systematics and evolution of Lithospermum and allies (Boraginaceae tribe Lithospermeae) based on molecular and morphological data. Molecular Phylogenetics and Evolution 52(3): 755-768.
677	Weigend, M., M. Gottschling, F. Selvi, H. H. Hilger (2010). Fossil and extant Western hemisphere Boragineae, and the polyphyly of Trigonotideae Riedl (Boraginaceae: Boraginoideae). Systematic Botany 35(2): 409-419.
678	Wellman, C. H. (2004). Dating the origin of land plants. Telling the evolutionary time - Molecular clocks and the fossil record. P. C. J. Donoghue and M. P. Smith. London, CRC Press: 119-141.
679	Werner, K. and F. Ebel (1994). Zur Lebensgeschichte der Gattung Helleborus L. (Ranunculaceae). Flora 189: 97-130.
680	Whipple, I. G., M. E. Barkworth, B. S. Bushman (2007). Molecular insights into the taxonomy of Glyceria (Poaceae : Meliceae) in North America. American Journal of Botany 94: 551-557.
681	Widmer, A. and M. Baltisberger (1999). Molecular evidence for allopolyploid speciation and a single origin of the narrow endemic Draba ladina (Brassicaceae). American Journal of Botany 86(9): 1282-1289.
682	Wiegleb, G. and Z. Kaplan (1998). An account of the species of Potamogeton L. (Potamogetonaceae). Folia Geobotanica 33(3): 241-316.
683	Wiegrefe, S. J., K. J. Sytsma, R. P. Guries (1994). Phylogeny of elms (Ulmus, Ulmaceae): molecular evidence for a sectional classification. Systematic Botany 19: 590-612.
684	Wikström, N. and P. Kenrick (2001). Evolution of Lycopodiaceae (Lycopsida): Estimating divergence times from rbcL gene sequences by use of nonparametric rate smoothing. Molecular Phylogenetics and Evolution 19: 177-186.
685	Wikström, N., V. Savolainen, M. W. Chase (2001). Evolution of the angiosperms: calibrating the family tree. Proceedings of the Royal Society of London Series B-Biological Sciences 268(1482): 2211-2220.
686	Wilson, C. A. (2004). Phylogeny of Iris based on chloroplast matK gene and trnK intron sequence data. Molecular Phylogenetics and Evolution 33(2): 402-412.
687	Wilson, C. A. (2009). Phylogenetic relationships among the recognized series in Iris section Limniris. Systematic Botany 34(2): 277-284.
688	Wilson, C. A. (2011). The genus Iris - phylogeny. http://www.rsabg.org/iris/.
689	Wilson, C. A. (2011). Subgeneric classification in Iris re-examined using chloroplast sequence data. Taxon 60(1): 27-35.
690	Winfield, M. O., G. D'Amato, R. I. De Dominicis, P. Salimbeni, G. F. Tucci (2006). A cytological and molecular study of the genera Scorzonera L. and Podospermum (L.) DC (Asteraceae). Caryologia 59(2): 153-163.
691	Wink, N. and M. Kaufmann (1996). Phylogenetic relationships between some members of the subfamily Lamioideae (family Labiatae) inferred from nucleotide sequences of the  rbc L gene. Botanica Acta 109(2): 139-148.
692	Winkworth, R. C., C. D. Bell, M. J. Donoghue (2008). Mitochondrial sequence data and Dipsacales phylogeny: Mixed models, partitioned Bayesian analyses, and model selection. Molecular Phylogenetics and Evolution 46(3): 830-843.
693	Winkworth, R. C., D. Bryant, P. J. Lockhart, D. Havell, V. Moulton (2005). Biogeographic interpretation of splits graphs: Least squares optimization of branch lengths. Systematic Biology 54(1): 56-65.
694	Winkworth, R. C., J. Grau, A. W. Robertson, P. J. Lockhart (2002). The origins and evolution of the genus Myosotis L. (Boraginaceae). Molecular Phylogenetics and Evolution 24(2): 180-193.
695	Wojciechowski, M. F. (2003). Reconstructing the phylogeny of legumes (Leguminosae): an early 21st century perpsective. Advances in Legume Systematics. B. B. Klitgaard and A. Bruneau. Kew, Royal Botanic Garden. 10: 5-35.
696	Wojciechowski, M. F. (2005). Astragalus (Fabaceae): A molecular phylogenetic perspective. Brittonia 57(4): 382-396.
697	Wojciechowski, M. F., M. Lavin, M. J. Sanderson (2004). A phylogeny of legumes (Leguminosae) based on analyses of the plastid matK gene resolves many well-supported subclades within the family. American Journal of Botany 91(11): 1846-1862.
698	Wolfe, A. D., C. P. Randle, L. Liu, K. E. Steiner (2005). Phylogeny and biogeography of Orobanchaceae. Folia Geobotanica 40(2-3): 115-134.
699	Won, H. and S. S. Renner (2006). Dating dispersal and radiation in the gymnosperm Gnetum (Gnetales) - Clock calibration when outgroup relationships are uncertain. Systematic Biology 55(4): 610-622.
700	Wurdack, K. J., P. Hoffmann, M. W. Chase (2005). Molecular phylogenetic analysis of uniovulate Euphorbiaceae (Euphorbiaceae sensu stricto) using plastid rbcL and trnL-F DNA sequences. American Journal of Botany 92(8): 1397-1420.
701	Xiang, Q. Y. and D. T. Thomas (2008). Tracking character evolution and biogeographic history through time in Cornaceae - Does choice of methods matter? Journal of Systematics and Evolution 46(3): 349-374.
702	Xiang, Q. Y., D. T. Thomas, Q. P. Xiang (2011). Resolving and dating the phylogeny of Cornales - Effects of taxon sampling, data partitions, and fossil calibrations. Molecular Phylogenetics and Evolution 59(1): 123-138.
703	Xie, L., W. L. Wagner, R. H. Ree, P. E. Berry, J. Wen (2009). Molecular phylogeny, divergence time estimates, and historical biogeography of Circaea (Onagraceae) in the Northern Hemisphere. Molecular Phylogenetics and Evolution 53(3): 995-1009.
704	Xie, L., J. Wen, L. Q. Li (2011). Phylogenetic analyses of Clematis (Ranunculaceae) based on sequences of nuclear ribosomal ITS and three plastid regions. Systematic Botany 36(4): 907-921.
705	Xu, F. X. and M. Sun (2001). Comparative analysis of phylogenetic relationships of grain amaranths and their wild relatives (Amaranthus; Amaranthaceae) using internal transcribed spacer, amplified fragment length polymorphism, and double-primer fluorescent intersimple sequence repeat markers. Molecular Phylogenetics and Evolution 21(3): 372-387.
706	Xu, X. W., C. Walters, M. F. Antolin, M. L. Alexander, S. Lutz, S. Ge, J. Wen (2010). Phylogeny and biogeography of the eastern Asian-North American disjunct wild-rice genus (Zizania L., Poaceae). Molecular Phylogenetics and Evolution 55(3): 1008-1017.
707	Yang, F. S. and X. Q. Wang (2007). Extensive length variation in the cpDNA trnT-trnF region of hemiparasitic Pedicularis and its phylogenetic implications. Plant Systematics and Evolution 264(3-4): 251-264.
708	Yang, F. S., X. Q. Wang, D. Y. Hong (2003). Unexpected high divergence in nrDNA ITS and extensive parallelism in floral morphology of Pedicularis (Orobanchaceae). Plant Systematics and Evolution 240(1-4): 91-105.
709	Yang, Y. and P. E. Berry (2011). Phylogenetics of the Chamaesyce clade (Euphorbia, Euphorbiaceae): Reticulate evolution and long-distance dispersal in a prominent C4 lineage. American Journal of Botany 98(9): 1486-1503.
710	Yesson, C. and A. Culham (2006). Phyloclimatic modeling: Combining phylogenetics and bioclimatic modeling. Systematic Biology 55(5): 785-802.
711	Yesson, C., N. H. Toomey, A. Culham (2009). Cyclamen: time, sea and speciation biogeography using a temporally calibrated phylogeny. Journal of Biogeography 36(7): 1234-1252.
712	Yi, T., A. J. Miller, J. Wen (2004). Phylogenetic and biogeographic diversification of Rhus (Anacardiaceae) in the Northern Hemisphere. Molecular Phylogenetics and Evolution 33(3): 861-879.
713	Yi, T. S., A. J. Miller, J. Wen (2007). Phylogeny of Rhus (Anacardiaceae) based on sequences of nuclear Nia-i3 intron and chloroplast trnC-trnD. Systematic Botany 32(2): 379-391.
714	Yockteng, R., H. E. Ballard, G. Mansion, I. Dajoz, S. Nadot (2003). Relationships among pansies (Viola section Melanium) investigated using ITS and ISSR markers. Plant Systematics and Evolution 241(3-4): 153-170.
715	Yogeeswaran, K., C. Voelckel, S. Joly, P. B. Heenan, C. Kole (2011). Pachycladon. Wild Crop Relatives: Genomic and Breeding Resources. C. Kole, Springer Berlin Heidelberg: 227-249.
716	Yoo, M.-J., C. D. Bell, P. S. Soltis, D. E. Soltis (2005). Divergence times and historical biogeography of Nymphaeales. Systematic Botany 30(4): 693-704.
717	Yuan, Y.-M., S. Wohlhauser, M. Möller, P. Chassot, G. Mansion, J. Grant, P. Küpfer, J. Klackenberg (2003). Monophyly and relationships of the tribe Exaceae (Gentianaceae) inferred from nuclear ribosomal and chloroplast DNA sequences. Molecular Phylogenetics and Evolution 28(3): 500-517.
718	Zacharias, E. H. and B. G. Baldwin (2010). A molecular phylogeny of North American Atripliceae (Chenopodiaceae), with implications for floral and photosynthetic pathway evolution. Systematic Botany 35(4): 839-857.
719	Zarrei, M., P. Wilkin, M. F. Fay, M. J. Ingrouille, S. Zarre, M. W. Chase (2009). Molecular systematics of Gagea and Lloydia (Liliaceae; Liliales): implications of analyses of nuclear ribosomal and plastid DNA sequences for infrageneric classification. Annals of Botany 104(1): 125-142.
720	Zavada, M. S. and M. Kim (1996). Phylogenetic analysis of Ulmaceae. Plant Systematics and Evolution 200(1-2): 13-20.
721	Zaveska Drabkova, L. and C. Vlcek (2009). DNA variation within Juncaceae: comparison of impact of organelle regions on phylogeny. Plant Systematics and Evolution 278(3-4): 169-186.
722	Zaveska Drabkova, L. and C. Vlcek (2010). Molecular phylogeny of the genus Luzula DC. (Juncaceae, Monocotyledones) based on plastome and nuclear ribosomal regions: A case of incongruence, incomplete lineage sorting and hybridisation. Molecular Phylogenetics and Evolution 57(2): 536-551.
723	Zecca, G., J. R. Abbott, W.-B. Sun, A. Spada, F. Sala, F. Grassi (2012). The timing and the mode of evolution of wild grapes (Vitis). Molecular Phylogenetics and Evolution 62(2): 736-747.
724	Zedek, F., J. Smerda, P. Smarda, P. Bures (2010). Correlated evolution of LTR retrotransposons and genome size in the genus Eleocharis. Bmc Plant Biology 10.
725	Zerega, N. J. C., W. L. Clement, S. L. Datwyler, G. D. Weiblen (2005). Biogeography and divergence times in the mulberry family (Moraceae). Molecular Phylogenetics and Evolution 37(2): 402-416.
726	Zetsche, H. (2004). Die Phylogeographie des Artkomplexes Pulsatilla alpina (Ranunculaceae). Mathematisch-Naturwissenschaftlich-Technischen Fakultät. Halle, Martin-Luther-University Halle-Wittenberg. PhD.
727	Zhang, D. J., S. Y. Chen, Q. B. Gao, Y. Z. Duan, S. L. Chen (2008). Circumscription and phylogeny of Saxifraga sect. Ciliatae: Evidence from nrDNA ITS sequences. Journal of Systematics and Evolution 46(5): 667-675.
728	Zhang, J.-W., Z.-L. Nie, J. Wen, H. Sun (2011). Molecular phylogeny and biogeography of three closely related genera, Soroseris, Stebbinsia, and Syncalathium (Asteraceae, Cichorieae), endemic to the Tibetan Plateau, SW China. Taxon 60(1): 15-26.
729	Zhang, L. B., H. P. Comes, J. W. Kadereit (2001). Phylogeny and Quaternary history of the European montane/alpine endemic Soldanella (Primulaceae) based on ITS and AFLP variation. American Journal of Botany 88: 2331-2345.
730	Zhang, M.-L. and P. Fritsch (2010). Evolutionary response of Caragana (Fabaceae) to Qinghai–Tibetan Plateau uplift and Asian interior aridification. Plant Systematics and Evolution 288(3): 191-199.
731	Zhang, M., Y. Kang, L. Zhou, D. Podlech (2009). Phylogenetic origin of Phyllolobium with a further implication for diversification of Astragalus in China. Journal of Integrative Plant Biology 51(9): 889-899.
732	Zhang, W. H., Z. D. Chen, J. H. Li, H. B. Chen, Y. C. Tang (2003). Phylogeny of the Dipsacales s.l. based on chloroplast trnL-F and ndhF sequences. Molecular Phylogenetics and Evolution 26(2): 176-189.
733	Zhang, Z., L. Fan, J. Yang, X. Hao, Z. Gu (2006). Alkaloid polymorphism and ITS sequence variation in the Spiraea japonica complex (Rosaceae) in China: traces of the biological effects of the Himalaya-Tibet Plateau uplift. American Journal of Botany 93(5): 762-769.
734	Zhou, Z., J. Wen, G. Li, H. Sun (2012). Phylogenetic assessment and biogeographic analyses of tribe Peracarpeae (Campanulaceae). Plant Systematics and Evolution 298(2): 323-336.
735	Zimmermann, N. F. A., C. M. Ritz, F. H. Hellwig (2010). Further support for the phylogenetic relationships within Euphorbia L. (Euphorbiaceae) from nrITS and trnL-trnF IGS sequence data. Plant Systematics and Evolution 286(1-2): 39-58.
736	Zomlefer, W. B., N. H. Williams, W. M. Whitten, W. S. Judd (2001). Generic circumscription and relationships in the tribe Melanthieae (Liliales, Melanthiaceae), with emphasis on Zigadenus: Evidence from ITS and L-TRN-F sequence data. American Journal of Botany 88(9): 1657-1669.
737	Zunk, K., K. Mummenhoff, H. Hurka (1999). Phylogenetic relationships in tribe Lepidieae (Brassicaceae) based on chloroplast DNA restriction site variation. Canadian Journal of Botany 77: 1504-1512.
738	Zunk, K., K. Mummenhoff, M. Koch, H. Hurka (1996). Phylogenetic relationships of Thlaspi s.l. (subtribe Thlaspidinae, Lepidieae) and allied genera based on chloroplast DNA restriction-site variation. Theoretical and Applied Genetics 92(3-4): 375-381.
